adp[c]	0.00000010000000000000	0.00190000000000000000
amp[c]	0.00000010000000000000	0.00120000000000000000
atp[c]	0.00129000000000000000	0.00490000000000000000
coa[c]	0.00002920000000000000	0.00011680000000000000
na1[c]	0.00000010000000000000	0.02500000000000000000
na1[e]	0.13260000000000000000	0.15540000000000000000
nad[c]	0.00010546000000000000	0.00075720000000000000
nadh[c]	0.00000092574000000000	0.00038294000000000000
nadp[c]	0.00000010000000000000	0.00000582840000000000
nadph[c]	0.00000010000000000000	0.00037523000000000000
nh4[c]	0.00069999999999999900	0.00089999999999999900
pi[c]	0.00100000000000000000	0.00630000000000000000
ppi[c]	0.00210000000000000000	0.00760000000000000000
