ACACtx	acac[c] 	<=>	acac[x] 
ACCOAC	accoa[c] + atp[c] + hco3[c] 	->	adp[c] + h[c] + malcoa[c] + pi[c] 
AM6SAD	am6sa[c] + h2o[c] + nad[c] 	->	amuco[c] + 2.000000 h[c] + nadh[c] 
ARACHCPT1	arachcoa[c] + crn[c] 	->	arachcrn[c] + coa[c] 
ARTCOAL1	Rtotal[c] + coa[c] 	<=>	Rtotalcoa[c] 
ARTCOAL2	Rtotal2[c] + coa[c] 	<=>	Rtotal2coa[c] 
C204CPT2	arachdcrn[m] + coa[m] 	->	arachdcoa[m] + crn[m] 
CSNATp	accoa[x] + crn[x] 	<=>	acrn[x] + coa[x] 
CYOOm3	4.000000 focytC[m] + 7.920000 h[m] + o2[m] 	->	4.000000 ficytC[m] + 1.960000 h2o[m] + 4.000000 h[c] + 0.020000 o2s[m] 
DCSPTN1CPT1	crn[c] + dcsptn1coa[c] 	->	coa[c] + dcsptn1crn[c] 
DGAT	Rtotal3coa[c] + dag-hs[c] 	->	coa[c] + tag-hs[c] 
DLNLCGCPT1	crn[c] + dlnlcgcoa[c] 	->	coa[c] + dlnlcgcrn[c] 
DM_13_cis_oretn(n)	13-cis-oretn[n] 	->	
DM_13_cis_retn(n)	13-cis-retn[n] 	->	
DM_Asn_X_Ser_FSLASH_Thr(ly)	Asn-X-Ser-FSLASH-Thr[l] 	->	
DM_Ser_FSLASH_Thr(ly)	Ser-FSLASH-Thr[l] 	->	
DM_Ser_Gly_FSLASH_Ala_X_Gly(ly)	Ser-Gly-FSLASH-Ala-X-Gly[l] 	->	
DM_avite1_c	avite1[c] 	->	
DM_avite2_c	avite2[c] 	->	
DM_bvite_c	bvite[c] 	->	
DM_datp(m)	datp[m] 	->	
DM_datp(n)	datp[n] 	->	
DM_dctp(m)	dctp[m] 	->	
DM_dctp(n)	dctp[n] 	->	
DM_dgtp(m)	dgtp[m] 	->	
DM_dgtp(n)	dgtp[n] 	->	
DM_dsT_antigen(g)	dsT-antigen[g] 	->	
DM_dttp(m)	dttp[m] 	->	
