DM_13_cis_oretn_n_	13_cis_oretn[n] 	->	
DM_13_cis_retn_n_	13_cis_retn[n] 	->	
DM_Asn_X_Ser_Thr_ly_	Asn_X_Ser_Thr[l] 	->	
DM_avite1_c_	avite1[c] 	->	
DM_avite2_c_	avite2[c] 	->	
DM_bvite_c_	bvite[c] 	->	
DM_core5_g_	core5[g] 	->	
DM_core7_g_	core7[g] 	->	
DM_core8_g_	core8[g] 	->	
DM_datp_m_	datp[m] 	->	
DM_datp_n_	datp[n] 	->	
DM_dctp_m_	dctp[m] 	->	
DM_dctp_n_	dctp[n] 	->	
DM_dem2emgacpail_prot_hs_r_	dem2emgacpail_prot_hs[r] 	->	
DM_dgpi_prot_hs_r_	dgpi_prot_hs[r] 	->	
DM_dgtp_m_	dgtp[m] 	->	
DM_dgtp_n_	dgtp[n] 	->	
DM_dttp_m_	dttp[m] 	->	
DM_dttp_n_	dttp[n] 	->	
DM_ethamp_r_	ethamp[r] 	->	
DM_gncore2_g_	gncore2[g] 	->	
DM_gpi_sig_er_	gpi_sig[r] 	->	
DM_hretn_n_	hretn[n] 	->	
DM_mem2emgacpail_prot_hs_r_	mem2emgacpail_prot_hs[r] 	->	
DM_n5m2masn_g_	n5m2masn[g] 	->	
DM_oretn_n_	oretn[n] 	->	
DM_Ser_Thr_ly_	Ser_Thr[l] 	->	
DM_Ser_Gly_Ala_X_Gly_ly_	Ser_Gly_Ala_X_Gly[l] 	->	
DM_sprm_c_	sprm[c] 	->	
DM_T_antigen_g_	T_antigen[g] 	->	
DM_yvite_c_	yvite[c] 	->	
sink_citr(c)	citr_L[c] 	<=>	
sink_pre_prot(r)	pre_prot[r] 	<=>	
sink_c81coa(c)	c81coa[c] 	<=>	
sink_dd2coa(c)	dd2coa[c] 	<=>	
sink_decdicoa(c)	decdicoa[c] 	<=>	
sink_octdececoa(c)	octdececoa[c] 	<=>	
sink_tetdece1coa(c)	tetdece1coa[c] 	<=>	
DM_1a25dhvitd3(n)	1a25dhvitd3[n] 	->	
DM_4abut(n)	4abut[n] 	->	
DM_5hpet(r)	5HPET[r] 	->	
DM_taur(c)	taur[c] 	->	
DM_pe_hs(r)	pe_hs[r] 	->	
DM_pmtcoa(r)	pmtcoa[r] 	->	
sink_5hpet(c)	5HPET[c] 	<=>	
DM_4hrpo	4hpro_LT[m] 	->	
DM_Lcystin	Lcystin[c] 	->	
DM_anth	anth[c] 	->	
DM_btn	btn[c] 	->	
DM_fol	fol[c] 	->	
DM_ncam	ncam[c] 	->	
DM_pnto_R	pnto_R[c] 	->	
EX_10fthf(e)	10fthf[e] 	<=>	
EX_11_cis_retfa(e)	11_cis_retfa[e] 	<=>	
EX_13_cis_retnglc(e)	13_cis_retnglc[e] 	<=>	
EX_1glyc_hs(e)	1glyc_hs[e] 	<=>	
EX_1mncam(e)	1mncam[e] 	<=>	
EX_2425dhvitd2(e)	2425dhvitd2[e] 	<=>	
EX_2425dhvitd3(e)	2425dhvitd3[e] 	<=>	
EX_24nph(e)	24nph[e] 	<=>	
EX_25hvitd2(e)	25hvitd2[e] 	<=>	
EX_25hvitd3(e)	25hvitd3[e] 	<=>	
EX_2hb(e)	2hb[e] 	<=>	
EX_2mcit(e)	2mcit[e] 	<=>	
EX_34dhoxpeg(e)	34dhoxpeg[e] 	<=>	
EX_34dhphe(e)	34dhphe[e] 	<=>	
EX_35cgmp(e)	35cgmp[e] 	<=>	
EX_3aib(e)	3aib[e] 	<=>	
EX_3aib_D(e)	3aib_D[e] 	<=>	
EX_3mlda(e)	3mlda[e] 	<=>	
EX_4abut(e)	4abut[e] 	<=>	
EX_4hdebrisoquine(e)	4hdebrisoquine[e] 	<=>	
EX_4hphac(e)	4hphac[e] 	<=>	
EX_4mptnl(e)	4mptnl[e] 	<=>	
EX_4mtolbutamide(e)	4mtolbutamide[e] 	<=>	
EX_4nph(e)	4nph[e] 	<=>	
EX_4nphsf(e)	4nphsf[e] 	<=>	
EX_4pyrdx(e)	4pyrdx[e] 	<=>	
EX_5adtststerone(e)	5adtststerone[e] 	<=>	
EX_5adtststeroneglc(e)	5adtststeroneglc[e] 	<=>	
EX_5fthf(e)	5fthf[e] 	<=>	
EX_5homeprazole(e)	5homeprazole[e] 	<=>	
EX_5htrp(e)	5htrp[e] 	<=>	
EX_5mthf(e)	5mthf[e] 	<=>	
EX_6htststerone(e)	6htststerone[e] 	<=>	
EX_9_cis_retfa(e)	9_cis_retfa[e] 	<=>	
EX_abt(e)	abt[e] 	<=>	
EX_ac(e)	ac[e] 	<=>	
EX_acac(e)	acac[e] 	<=>	
EX_acald(e)	acald[e] 	<=>	
EX_acetone(e)	acetone[e] 	<=>	
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs(e)	acgalfucgalacgalfuc12gal14acglcgalgluside_hs[e] 	<=>	
EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs(e)	acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[e] 	<=>	
EX_acgam(e)	acgam[e] 	<=>	
EX_ach(e)	ach[e] 	<=>	
EX_ade(e)	ade[e] 	<=>	
EX_adn(e)	adn[e] 	<=>	
EX_adp_	adp[e] 	<=>	
EX_adprbp(e)	adprbp[e] 	<=>	
EX_adprib(e)	adprib[e] 	<=>	
EX_adrn(e)	adrn[e] 	<=>	
EX_adrnl(e)	adrnl[e] 	<=>	
EX_aflatoxin(e)	aflatoxin[e] 	<=>	
EX_ahandrostanglc(e)	ahandrostanglc[e] 	<=>	
EX_ak2lgchol_hs(e)	ak2lgchol_hs[e] 	<=>	
EX_akg(e)	akg[e] 	<=>	
