% HMDB reference range library						
"% HMDB was downloaded in Jan 2015. It was then parsed for all metabolites,"						
% their corresponding biofluid and concentration ranges for normal						
% conditions.						
"% if multiple data were available, their were combined to one range taking"						
% the highest and lowest reported value. For values were only means and the						
% std was given the range was calculated by assume 2 stds. We did not						
% discriminate between the sexes for these ranges as data were too sparse						
% and would require review of the original papers.						
% Parsed_hmdbConc.xlsx						
% ################						
HMDB ID	VMH ID	Compartment	Condition	unit	translated range - min	translated range - max
HMDB00008	2hb	Urine	Normal	umol/mmolcreatinine	0	10
HMDB00079	56dthm	Urine	Normal	umol/mmolcreatinine	0	10
HMDB00678	CE4968	Urine	Normal	umol/mmolcreatinine	0	10
HMDB00192	Lcystin	Urine	Normal	umol/mmolcreatinine	0	100
HMDB00289	urate	Urine	Normal	umol/mmolcreatinine	0	1023.89
HMDB00119	glx	Urine	Normal	umol/mmolcreatinine	0	11
HMDB00508	rbt	Urine	Normal	umol/mmolcreatinine	0	11
HMDB00232	quln	Urine	Normal	umol/mmolcreatinine	0	115.3
HMDB00156	mal_L	Urine	Normal	umol/mmolcreatinine	0	121.6
HMDB00123	gly	Urine	Normal	umol/mmolcreatinine	0	1234.76
HMDB00207	ocdcea	Urine	Normal	umol/mmolcreatinine	0	13
HMDB00017	4pyrdx	Urine	Normal	umol/mmolcreatinine	0	13.49
HMDB00574	cys_L	Urine	Normal	umol/mmolcreatinine	0	147.6
HMDB00211	inost	Urine	Normal	umol/mmolcreatinine	0	148.2
HMDB00283	rib_D	Urine	Normal	umol/mmolcreatinine	0	15.53
HMDB01051	glyald	Urine	Normal	umol/mmolcreatinine	0	150
HMDB00042	ac	Urine	Normal	umol/mmolcreatinine	0	151.99
HMDB00128	gudac	Urine	Normal	umol/mmolcreatinine	0	159
HMDB00273	thymd	Urine	Normal	umol/mmolcreatinine	0	16.59
HMDB00020	4hphac	Urine	Normal	umol/mmolcreatinine	0	1600.6
HMDB00112	4abut	Urine	Normal	umol/mmolcreatinine	0	169.51
HMDB00763	5hoxindoa	Urine	Normal	umol/mmolcreatinine	0	18
HMDB00237	ppa	Urine	Normal	umol/mmolcreatinine	0	18.3
HMDB00725	4hpro_LT	Urine	Normal	umol/mmolcreatinine	0	187.35
HMDB00687	leu_L	Urine	Normal	umol/mmolcreatinine	0	19.07
HMDB00033	carn	Urine	Normal	umol/mmolcreatinine	0	19.97
HMDB00142	for	Urine	Normal	umol/mmolcreatinine	0	195.63
HMDB00225	2oxoadp	Urine	Normal	umol/mmolcreatinine	0	2
HMDB00085	dgsn	Urine	Normal	umol/mmolcreatinine	0	2
HMDB00071	din	Urine	Normal	umol/mmolcreatinine	0	2
HMDB00012	duri	Urine	Normal	umol/mmolcreatinine	0	2
HMDB00262	thym	Urine	Normal	umol/mmolcreatinine	0	2
HMDB00450	pcollg5hlys	Urine	Normal	umol/mmolcreatinine	0	2.26
HMDB00854	forglu	Urine	Normal	umol/mmolcreatinine	0	2.32
HMDB00673	lnlc	Urine	Normal	umol/mmolcreatinine	0	2.41
HMDB00130	hgentis	Urine	Normal	umol/mmolcreatinine	0	2.8
HMDB00099	cyst_L	Urine	Normal	umol/mmolcreatinine	0	20.7
HMDB00011	bhb	Urine	Normal	umol/mmolcreatinine	0	200
HMDB00143	gal	Urine	Normal	umol/mmolcreatinine	0	2026.02
HMDB00707	34hpp	Urine	Normal	umol/mmolcreatinine	0	21.3
HMDB00163	malt	Urine	Normal	umol/mmolcreatinine	0	21.4
HMDB00148	glu_L	Urine	Normal	umol/mmolcreatinine	0	217.61
HMDB00731	slfcys	Urine	Normal	umol/mmolcreatinine	0	22
HMDB00214	orn	Urine	Normal	umol/mmolcreatinine	0	22.1
HMDB00893	subeac	Urine	Normal	umol/mmolcreatinine	0	22.31
HMDB00517	arg_L	Urine	Normal	umol/mmolcreatinine	0	22.97
HMDB00300	ura	Urine	Normal	umol/mmolcreatinine	0	23.85
HMDB00157	hxan	Urine	Normal	umol/mmolcreatinine	0	24.1
HMDB00226	orot	Urine	Normal	umol/mmolcreatinine	0	24.1
HMDB00076	56dura	Urine	Normal	umol/mmolcreatinine	0	24.6
HMDB00291	3mox4hoxm	Urine	Normal	umol/mmolcreatinine	0	25.9
HMDB00448	adpac	Urine	Normal	umol/mmolcreatinine	0	250
HMDB00251	taur	Urine	Normal	umol/mmolcreatinine	0	251
HMDB00161	ala_L	Urine	Normal	umol/mmolcreatinine	0	252.97
HMDB00191	asp_L	Urine	Normal	umol/mmolcreatinine	0	26.8
HMDB00193	icit	Urine	Normal	umol/mmolcreatinine	0	265.3
HMDB00883	val_L	Urine	Normal	umol/mmolcreatinine	0	27.68
HMDB00210	pnto_R	Urine	Normal	umol/mmolcreatinine	0	28.92
HMDB00660	fru	Urine	Normal	umol/mmolcreatinine	0	285.46
HMDB00131	glyc	Urine	Normal	umol/mmolcreatinine	0	288.5
HMDB00929	trp_L	Urine	Normal	umol/mmolcreatinine	0	29.4
HMDB00714	bgly	Urine	Normal	umol/mmolcreatinine	0	2921.04
HMDB00641	gln_L	Urine	Normal	umol/mmolcreatinine	0	298.84
HMDB00339	CE4970	Urine	Normal	umol/mmolcreatinine	0	3.3
HMDB00691	HC00319	Urine	Normal	umol/mmolcreatinine	0	3.5
HMDB00696	met_L	Urine	Normal	umol/mmolcreatinine	0	3.947
HMDB00247	sbt_D	Urine	Normal	umol/mmolcreatinine	0	30.46
HMDB00197	ind3ac	Urine	Normal	umol/mmolcreatinine	0	31
HMDB00062	crn	Urine	Normal	umol/mmolcreatinine	0	31.5
HMDB00094	cit	Urine	Normal	umol/mmolcreatinine	0	3168.4
HMDB00162	pro_L	Urine	Normal	umol/mmolcreatinine	0	34.76
HMDB00562	crtn	Urine	Normal	uM	0	34337
HMDB00044	ascb_L	Urine	Normal	umol/mmolcreatinine	0	349.4
HMDB00792	sebacid	Urine	Normal	umol/mmolcreatinine	0	35.1
HMDB00881	C02470	Urine	Normal	umol/mmolcreatinine	0	4
HMDB00205	phpyr	Urine	Normal	umol/mmolcreatinine	0	4
HMDB00089	cytd	Urine	Normal	umol/mmolcreatinine	0	4.18
HMDB00452	C02356	Urine	Normal	umol/mmolcreatinine	0	4.4
HMDB00491	3mop	Urine	Normal	umol/mmolcreatinine	0	4.8
HMDB00742	hcys_L	Urine	Normal	umol/mmolcreatinine	0	4.89
HMDB00462	alltn	Urine	Normal	umol/mmolcreatinine	0	40.7
HMDB00169	man	Urine	Normal	umol/mmolcreatinine	0	42.49
HMDB00115	glyclt	Urine	Normal	umol/mmolcreatinine	0	425
HMDB00190	lac_L	Urine	Normal	umol/mmolcreatinine	0	444.29
HMDB00127	glcur	Urine	Normal	umol/mmolcreatinine	0	453.51
HMDB00050	adn	Urine	Normal	umol/mmolcreatinine	0	46.7
HMDB00118	homoval	Urine	Normal	umol/mmolcreatinine	0	47.3
HMDB00258	sucr	Urine	Normal	umol/mmolcreatinine	0	486.2
HMDB01043	arachd	Urine	Normal	umol/mmolcreatinine	0	5.71
HMDB00168	asn_L	Urine	Normal	umol/mmolcreatinine	0	53.01
HMDB00134	fum	Urine	Normal	umol/mmolcreatinine	0	53.7
HMDB00267	5oxpro	Urine	Normal	umol/mmolcreatinine	0	54.2
HMDB00158	tyr_L	Urine	Normal	umol/mmolcreatinine	0	55.31
HMDB00159	phe_L	Urine	Normal	umol/mmolcreatinine	0	55.63
HMDB00187	ser_L	Urine	Normal	umol/mmolcreatinine	0	57.2
HMDB00195	ins	Urine	Normal	umol/mmolcreatinine	0	6.5
HMDB00215	acgam	Urine	Normal	umol/mmolcreatinine	0	6.66
HMDB00684	Lkynr	Urine	Normal	umol/mmolcreatinine	0	6.73
HMDB00812	Nacasp	Urine	Normal	umol/mmolcreatinine	0	65.5
HMDB00064	creat	Urine	Normal	umol/mmolcreatinine	0	654
HMDB00754	CE2028	Urine	Normal	umol/mmolcreatinine	0	66.4
HMDB00060	acac	Urine	Normal	umol/mmolcreatinine	0	67
HMDB00904	citr_L	Urine	Normal	umol/mmolcreatinine	0	74.25
HMDB00202	HC00900	Urine	Normal	umol/mmolcreatinine	0	79.4
HMDB00243	pyr	Urine	Normal	umol/mmolcreatinine	0	79.53
HMDB00056	ala_B	Urine	Normal	umol/mmolcreatinine	0	8.4
HMDB00039	but	Urine	Normal	umol/mmolcreatinine	0	81
HMDB00107	galt	Urine	Normal	umol/mmolcreatinine	0	81
HMDB00208	akg	Urine	Normal	umol/mmolcreatinine	0	836.3
HMDB00182	lys_L	Urine	Normal	umol/mmolcreatinine	0	86
HMDB00167	thr_L	Urine	Normal	umol/mmolcreatinine	0	86.96
HMDB00172	ile_L	Urine	Normal	umol/mmolcreatinine	0	9.25
HMDB00271	sarcs	Urine	Normal	umol/mmolcreatinine	0	9.4
HMDB00139	glyc_R	Urine	Normal	umol/mmolcreatinine	0	91.1
HMDB00043	glyb	Urine	Normal	umol/mmolcreatinine	0	92.7
HMDB00122	glc_D	Urine	Normal	umol/mmolcreatinine	0	942.7
HMDB00121	fol	Urine	Normal	umol/mmolcreatinine	0.000013	0.012
HMDB01220	prostge2	Urine	Normal	umol/mmolcreatinine	0.000017	0.019
HMDB00248	thyox_L	Urine	Normal	umol/mmolcreatinine	0.00002	0.00062
HMDB00068	adrnl	Urine	Normal	umol/mmolcreatinine	0.00002	0.0099
HMDB01139	prostgf2	Urine	Normal	umol/mmolcreatinine	0.0000588	0.00055
HMDB00063	crtsl	Urine	Normal	umol/mmolcreatinine	0.0019	0.021
HMDB00054	bilirub	Urine	Normal	umol/mmolcreatinine	0.0019	5.13
HMDB00222	pmtcrn	Urine	Normal	umol/mmolcreatinine	0.002	0.6
HMDB01032	dheas	Urine	Normal	umol/mmolcreatinine	0.0026	2.52
HMDB00216	nrpphr	Urine	Normal	umol/mmolcreatinine	0.00342	0.057
HMDB00181	34dhphe	Urine	Normal	umol/mmolcreatinine	0.0036	0.04
HMDB00177	his_L	Urine	Normal	umol/mmolcreatinine	0.0036	212.81
HMDB00870	hista	Urine	Normal	umol/mmolcreatinine	0.0036	37.44
HMDB00259	srtn	Urine	Normal	umol/mmolcreatinine	0.004	0.12
HMDB00125	gthrd	Urine	Normal	umol/mmolcreatinine	0.005	0.085
HMDB00022	3moxtyr	Urine	Normal	umol/mmolcreatinine	0.0052	0.72
HMDB00037	aldstrn	Urine	Normal	umol/mmolcreatinine	0.006	0.014
HMDB00472	5htrp	Urine	Normal	umol/mmolcreatinine	0.00624	0.00936
HMDB00032	7dhchsterol	Urine	Normal	umol/mmolcreatinine	0.0068	0.051
HMDB00108	etoh	Urine	Normal	umol/mmolcreatinine	0.008	3.1
HMDB00824	pcrn	Urine	Normal	umol/mmolcreatinine	0.01	0.2
HMDB00133	gsn	Urine	Normal	umol/mmolcreatinine	0.01	0.23
HMDB01149	5aop	Urine	Normal	umol/mmolcreatinine	0.01	4.4
HMDB00695	4mop	Urine	Normal	umol/mmolcreatinine	0.02	0.45
HMDB00296	uri	Urine	Normal	umol/mmolcreatinine	0.03	1.351
HMDB00101	dad_2	Urine	Normal	umol/mmolcreatinine	0.04	0.4
HMDB00827	ocdca	Urine	Normal	umol/mmolcreatinine	0.04	7.7
HMDB00073	dopa	Urine	Normal	umol/mmolcreatinine	0.043	5.221
HMDB00379	2mcit	Urine	Normal	umol/mmolcreatinine	0.05	28.6
HMDB00227	mev_R	Urine	Normal	umol/mmolcreatinine	0.0515	0.6
HMDB00759	glyleu	Urine	Normal	umol/mmolcreatinine	0.056	0.084
HMDB00990	acald	Urine	Normal	umol/mmolcreatinine	0.065	43.4
HMDB00132	gua	Urine	Normal	umol/mmolcreatinine	0.085	0.57
HMDB00761	HC02191	Urine	Normal	umol/mmolcreatinine	0.1	0.2
HMDB00058	camp	Urine	Normal	umol/mmolcreatinine	0.1	0.66
HMDB00755	34hpl	Urine	Normal	umol/mmolcreatinine	0.1	11.5
HMDB00784	C08261	Urine	Normal	umol/mmolcreatinine	0.1	17.6
HMDB00220	hdca	Urine	Normal	umol/mmolcreatinine	0.1	26.1
HMDB00700	3hpp	Urine	Normal	umol/mmolcreatinine	0.1	48
HMDB00014	dcyt	Urine	Normal	umol/mmolcreatinine	0.11	1.19
HMDB00031	andrstrn	Urine	Normal	umol/mmolcreatinine	0.11	96.48
HMDB00250	ppi	Urine	Normal	umol/mmolcreatinine	0.12	5
HMDB01123	anth	Urine	Normal	umol/mmolcreatinine	0.15	1
HMDB00078	cgly	Urine	Normal	umol/mmolcreatinine	0.18	1.54
HMDB00318	34dhoxpeg	Urine	Normal	umol/mmolcreatinine	0.2	0.3
HMDB00699	1mncam	Urine	Normal	umol/mmolcreatinine	0.24	15
HMDB00209	pac	Urine	Normal	umol/mmolcreatinine	0.3	5.98
HMDB00721	glypro	Urine	Normal	umol/mmolcreatinine	0.32	0.48
HMDB00201	acrn	Urine	Normal	umol/mmolcreatinine	0.4	7.5
HMDB00257	tsul	Urine	Normal	umol/mmolcreatinine	0.41	3.77
HMDB00223	oaa	Urine	Normal	umol/mmolcreatinine	0.51	5.94
HMDB00965	hyptaur	Urine	Normal	umol/mmolcreatinine	0.52	0.78
HMDB00034	ade	Urine	Normal	umol/mmolcreatinine	0.52	5.1
HMDB00272	pser_L	Urine	Normal	umol/mmolcreatinine	0.53	10.4
HMDB00651	c10crn	Urine	Normal	umol/mmolcreatinine	0.62	15.2
HMDB00186	lcts	Urine	Normal	umol/mmolcreatinine	0.63	848.41
HMDB00715	kynate	Urine	Normal	umol/mmolcreatinine	0.66	4.2
HMDB00234	tststerone	Urine	Normal	umol/mmolcreatinine	0.69	1.45
HMDB00092	dmgly	Urine	Normal	umol/mmolcreatinine	0.7	11.2
HMDB00026	cala	Urine	Normal	umol/mmolcreatinine	0.704	1.056
HMDB00097	chol	Urine	Normal	umol/mmolcreatinine	0.72	28.5
HMDB01138	acglu	Urine	Normal	umol/mmolcreatinine	0.8	1.2
HMDB00239	pydxn	Urine	Normal	nmol/mmolcreatinine	0.8	1.2
HMDB00646	arab_L	Urine	Normal	umol/mmolcreatinine	0.8	22
HMDB00630	csn	Urine	Normal	umol/mmolcreatinine	1.1	10.7
HMDB00292	xan	Urine	Normal	umol/mmolcreatinine	1.3	4.6
HMDB00224	ethamp	Urine	Normal	umol/mmolcreatinine	1.644	12.2
HMDB00464	ca2	Urine	Normal	umol/mmolcreatinine	16.9	641
