% HMDB reference range library						
"% HMDB was downloaded in Jan 2015. It was then parsed for all metabolites,"						
% their corresponding biofluid and concentration ranges for normal						
% conditions.						
"% if multiple data were available, their were combined to one range taking"						
% the highest and lowest reported value. For values were only means and the						
% std was given the range was calculated by assume 2 stds. We did not						
% discriminate between the sexes for these ranges as data were too sparse						
% and would require review of the original papers.						
% Parsed_hmdbConc.xlsx								
% ################				
HMDB ID	VMH ID	Compartment	Condition	unit	translated range - min	translated range - max
HMDB01336	34dhpha	CerebrospinalFluid(CSF)	Normal	uM	0	0.006
HMDB01139	prostgf2	CerebrospinalFluid(CSF)	Normal	uM	0	0.004
HMDB01509	leuktrB4woh	CerebrospinalFluid(CSF)	Normal	uM	0	0.000015
HMDB06059	leuktrB4wcooh	CerebrospinalFluid(CSF)	Normal	uM	0	0.000015
HMDB01085	leuktrB4	CerebrospinalFluid(CSF)	Normal	uM	0	0.00459
HMDB04701	C14825	CerebrospinalFluid(CSF)	Normal	uM	0	0.00393
HMDB04702	C14826	CerebrospinalFluid(CSF)	Normal	uM	0	0.00357
HMDB00030	btn	CerebrospinalFluid(CSF)	Normal	uM	0	0.001171
HMDB06111	12harachd	CerebrospinalFluid(CSF)	Normal	uM	0	0.00153
HMDB04705	CE2049	CerebrospinalFluid(CSF)	Normal	uM	0	0.0015
HMDB04704	CE2047	CerebrospinalFluid(CSF)	Normal	uM	0	0.00137
HMDB01449	CE2211	CerebrospinalFluid(CSF)	Normal	uM	0	0.00038
HMDB03892	CE4890	CerebrospinalFluid(CSF)	Normal	uM	0	0.01
HMDB00898	mhista	CerebrospinalFluid(CSF)	Normal	uM	0	0.01
HMDB05199	C09642	CerebrospinalFluid(CSF)	Normal	uM	0	0.01
HMDB01389	melatn	CerebrospinalFluid(CSF)	Normal	uM	0	0.06
HMDB01644	xylu_D	CerebrospinalFluid(CSF)	Normal	uM	0	5
HMDB00675	iodine	CerebrospinalFluid(CSF)	Normal	uM	0	32
HMDB01881	12ppd_R	CerebrospinalFluid(CSF)	Normal	uM	0	133
HMDB00819	normete_L	CerebrospinalFluid(CSF)	Normal	uM	0	0.01
HMDB00763	5hoxindoa	CerebrospinalFluid(CSF)	Normal	uM	0	0.8
HMDB00181	34dhphe	CerebrospinalFluid(CSF)	Normal	uM	0	0.01
HMDB00684	Lkynr	CerebrospinalFluid(CSF)	Normal	uM	0	0.07
HMDB00216	nrpphr	CerebrospinalFluid(CSF)	Normal	uM	0	0.03
HMDB00715	kynate	CerebrospinalFluid(CSF)	Normal	uM	0	0.08
HMDB01491	pydx5p	CerebrospinalFluid(CSF)	Normal	uM	0	0.1
HMDB00870	hista	CerebrospinalFluid(CSF)	Normal	uM	0	0.38
HMDB00259	srtn	CerebrospinalFluid(CSF)	Normal	uM	0	0.01
HMDB00175	imp	CerebrospinalFluid(CSF)	Normal	uM	0	19.7
HMDB00472	5htrp	CerebrospinalFluid(CSF)	Normal	uM	0	0.01
HMDB00283	rib_D	CerebrospinalFluid(CSF)	Normal	uM	0	5
HMDB02917	xylt	CerebrospinalFluid(CSF)	Normal	uM	0	5
HMDB00026	cala	CerebrospinalFluid(CSF)	Normal	uM	0	0.5
HMDB01303	HC02172	CerebrospinalFluid(CSF)	Normal	uM	0	9.3
HMDB00237	ppa	CerebrospinalFluid(CSF)	Normal	uM	0	9.2
HMDB00156	mal_L	CerebrospinalFluid(CSF)	Normal	uM	0	9
