cid	name	dG'0	pH	I	pMg	T	decompose	compound_ref	remark
92	D-Glucose 6-phosphate	-1319.1	7	0.25	14	298.15	1	Alberty (2006)	
93	sn-Glycerol 3-phosphate	-1077.2	7	0.25	14	298.15	1	Alberty (2006)	
94	Sulfite	-488	7	0.25	14	298.15	0	Alberty (2006)	
95	D-Fructose	-426.6	7	0.25	14	298.15	1	Alberty (2006)	
97	L-Cysteine	-53.7	7	0.25	14	298.15	1	Alberty (2006)	
103	D-Glucose 1-phosphate	-1312	7	0.25	14	298.15	1	Alberty (2006)	
111	Glycerone phosphate	-1095.9	7	0.25	14	298.15	1	Alberty (2006)	
116	Glycerol	-171.5	7	0.25	14	298.15	1	Alberty (2006)	
117	D-Ribose 5-phosphate	-1232.4	7	0.25	14	298.15	1	Alberty (2006)	
118	D-Glyceraldehyde 3-phosphate	-1088.2	7	0.25	14	298.15	1	Alberty (2006)	
119	5-Phospho-alpha-D-ribose 1-diphosphate	-2977.4	7	0.25	14	298.15	1	Alberty (2006)	
121	D-Ribose	-331.3	7	0.25	14	298.15	1	Alberty (2006)	
122	Fumarate	-523.6	7	0.25	14	298.15	1	Alberty (2006)	
123	L-Leucine	177.4	7	0.25	14	298.15	1	Alberty (2006)	
124	D-Galactose	-420	7	0.25	14	298.15	1	Alberty (2006)	
132	Methanol	-12.3	7	0.25	14	298.15	0	Alberty (2006)	
147	Adenine	517.1	7	0.25	14	298.15	1	Alberty (2006)	
149	(S)-Malate	-682.9	7	0.25	14	298.15	1	Alberty (2006)	
152	L-Asparagine	-200.1	7	0.25	14	298.15	1	Alberty (2006)	
158	Citrate	-966.3	7	0.25	14	298.15	1	Alberty (2006)	
159	D-Mannose	-421.1	7	0.25	14	298.15	1	Alberty (2006)	
160	Glycolate	-409.5	7	0.25	14	298.15	1	Alberty (2006)	
164	Acetoacetate	-279.6	7	0.25	14	298.15	1	Alberty (2006)	
181	D-Xylose	-343	7	0.25	14	298.15	1	Alberty (2006)	
183	L-Valine	89.5	7	0.25	14	298.15	1	Alberty (2006)	
184	Glycerone	-206.5	7	0.25	14	298.15	1	Alberty (2006)	
186	(S)-Lactate	-313.8	7	0.25	14	298.15	1	Alberty (2006)	
188	L-Threonine	-162.2	7	0.25	14	298.15	1	Alberty (2006)	
197	3-Phospho-D-glycerate	-1347	7	0.25	14	298.15	1	Alberty (2006)	
198	D-Glucono-1,5-lactone	-496.1	7	0.25	14	298.15	1	Alberty (2006)	
199	D-Ribulose 5-phosphate	-1232	7	0.25	14	298.15	1	Alberty (2006)	
207	Acetone	84.8	7	0.25	14	298.15	1	Alberty (2006)	
208	Maltose	-678.3	7	0.25	14	298.15	1	Alberty (2006)	
209	Oxalate	-677.1	7	0.25	14	298.15	1	Alberty (2006)	
212	Adenosine	335.1	7	0.25	14	298.15	1	Alberty (2006)	
216	D-Arabinose	-334.8	7	0.25	14	298.15	1	Alberty (2006)	
218	Methylamine	203.8	7	0.25	14	298.15	0	Alberty (2006)	
224	Adenylyl sulfate	-1056.3	7	0.25	14	298.15	1	Alberty (2006)	
227	Acetyl phosphate	-1100.5	7	0.25	14	298.15	1	Alberty (2006)	
233	4-Methyl-2-oxopentanoate	-79.3	7	0.25	14	298.15	1	Alberty (2006)	
236	3-Phospho-D-glyceroyl phosphate	-2206.2	7	0.25	14	298.15	1	Alberty (2006)	
237	CO	-119.9	7	0.25	14	298.15	0	Alberty (2006)	
243	Lactose	-671	7	0.25	14	298.15	1	Alberty (2006)	
244	Nitrate	-109.5	7	0.25	14	298.15	0	Alberty (2006)	
246	Butanoic acid	-68.2	7	0.25	14	298.15	1	Alberty (2006)	
247	L-Sorbose	-423	7	0.25	14	298.15	1	Alberty (2006)	
249	Hexadecanoic acid	1002.9	7	0.25	14	298.15	1	Alberty (2006)	
252	Isomaltose	-691.3	7	0.25	14	298.15	1	Alberty (2006)	
257	D-Gluconic acid	-680.9	7	0.25	14	298.15	1	Thauer (1977)	
258	D-Glycerate	-458.1	7	0.25	14	298.15	1	Alberty (2006)	
262	Hypoxanthine	252.3	7	0.25	14	298.15	1	Alberty (2006)	
275	D-Mannose 6-phosphate	-1315	7	0.25	14	298.15	1	Alberty (2006)	
282	Hydrogen	99.1	7	0.25	14	298.15	0	Alberty (2006)	
283	Hydrogen sulfide	51.5	7	0.25	14	298.15	0	Alberty (2006)	
288	HCO3-	-547	7	0.25	14	298.15	0	Alberty (2006)	
294	Inosine	79.7	7	0.25	14	298.15	1	Alberty (2006)	
300	Creatine	107.5	7	0.25	14	298.15	1	Alberty (2006)	
305	Magnesium cation	-458.5	7	0.25	14	298.15	0	Alberty (2006)	
309	D-Ribulose	-328.5	7	0.25	14	298.15	1	Alberty (2006)	
310	D-Xylulose	-338.7	7	0.25	14	298.15	1	Alberty (2006)	
311	Isocitrate	-959.6	7	0.25	14	298.15	1	Alberty (2006)	
354	D-Fructose 1,6-bisphosphate	-2207	7	0.25	14	298.15	1	Alberty (2006)	
366	Urate	-194.9	7	0.25	14	298.15	1	Alberty (2006)	
379	Xylitol	-295.2	7	0.25	14	298.15	1	Alberty (2006)	
392	Mannitol	-372.2	7	0.25	14	298.15	1	Alberty (2006)	
407	L-Isoleucine	185.8	7	0.25	14	298.15	1	Alberty (2006)	
417	cis-Aconitate	-802.2	7	0.25	14	298.15	1	Alberty (2006)	
463	Indole	509	7	0.25	14	298.15	1	Alberty (2006)	
469	Ethanol	62.8	7	0.25	14	298.15	1	Alberty (2006)	
476	D-Lyxose	-341.7	7	0.25	14	298.15	1	Alberty (2006)	
491	L-Cystine	-177.7	7	0.25	14	298.15	1	Alberty (2006)	
543	Dimethylamine	321.8	7	0.25	14	298.15	0	Thauer (1977)	
565	Trimethylamine	443.8	7	0.25	14	298.15	0	Thauer (1977)	
575	3',5'-Cyclic AMP	-343.5	7	0.25	14	298.15	1	Alberty (2006)	
577	D-Glyceraldehyde	-195.6	7	0.25	14	298.15	1	Alberty (2006)	
