TranslatedMetabolite	VMHmetabolite
cpd00374	tym
cpd00378	frmd
cpd00379	glutar
cpd00380	itacon
cpd00382	raffin
cpd00383	skm
cpd00386	mal_D
cpd00387	adpglc
cpd00388	alltt
cpd00390	cdpglc
cpd00391	xylt_D
cpd00392	ethrtl
cpd00393	fol
cpd00395	Lcyst
cpd00396	rmn
cpd00397	rbl_L
cpd00398	nrgn
cpd00399	odecoa
cpd00400	acryl
cpd00401	bzcoa
cpd00402	cdpglyc
cpd00403	mana
cpd00404	orn_D
cpd00405	hxdcal
cpd00406	hyptaur
cpd00408	pant_R
cpd00412	duri
cpd00413	glutcoa
cpd00415	hqn
cpd00416	itaccoa
cpd00417	abt
cpd00418	no
cpd00419	pydam
cpd00420	tststerone
cpd00421	pppi
cpd00422	cnmlcoa
cpd00423	cbl2
cpd00424	cyst_L
cpd00425	dma
cpd00426	hgentis
cpd00427	arabt_L
cpd00428	mthgxl
cpd00430	pac
cpd00432	tartr_M
cpd00434	4abutn
cpd00435	bnzla
cpd00436	cpntn
cpd00437	tagur
cpd00438	dad_2
cpd00439	bzalcnhydn
cpd00441	tma
cpd00442	3sccoa
cpd00443	4abz
cpd00444	cdpea
cpd00445	chxylamn
cpd00446	camp
cpd00447	betald
cpd00448	glyald
cpd00449	dhlam
cpd00450	dms
cpd00452	phaccoa
cpd00453	12ppd_S
cpd00454	prostge2
cpd00456	3hbnzt
cpd00457	cholp
cpd00458	cfrl
cpd00460	sacald
cpd00461	op4en
cpd00463	4chlt3one
cpd00464	pacald
cpd00465	urdglyc
cpd00467	3sala
cpd00470	N1aspmd
cpd00472	udpgalur
cpd00473	3dhguln
cpd00475	r1p
cpd00477	acglu
cpd00478	pdx5p
cpd00479	HC00460
cpd00480	2dhglcn
cpd00481	ibcoa
cpd00482	2pg
cpd00483	3hanthrn
cpd00484	4hbald
cpd00485	man1p
cpd00486	id3acald
cpd00488	prostgf2
cpd00489	4hphac
cpd00490	5htrp
cpd00491	mnl1p
cpd00492	acmana
cpd00493	pyam5p
cpd00497	xmp
cpd00498	2ahbut
cpd00501	g1p_B
cpd00502	5forthf
cpd00503	f26bp
cpd00504	26dap_LL
cpd00506	glucys
cpd00507	g3pc
cpd00508	3mop
cpd00509	2dr1p
cpd00510	2dr5p
cpd00515	5dh4dglc
cpd00516	26dap_M
cpd00518	2hmsa
cpd00519	mmcoa_S
cpd00520	2ddpent
cpd00521	dtdp4d6dg
cpd00522	dtdp4d6dm
cpd00523	tre6p
cpd00524	2ins
cpd00525	uamag
cpd00526	cholate
cpd00528	n2
cpd00530	xtp
cpd00531	hg2
cpd00532	o2s
cpd00533	dcdp
cpd00536	ocdcea
cpd00540	glyb
cpd00541	lipoate
cpd00542	ntl
cpd00543	orcnl
cpd00544	trpn
cpd00546	crtsl
cpd00547	cys_L
cpd00549	lys_D
cpd00550	ser_D
cpd00551	dmthgxl
cpd00552	hf
cpd00557	sheme
cpd00558	sprm
cpd00559	sql
cpd00563	berbn
cpd00564	bergptl
cpd00566	cortsn
cpd00567	pro_D
cpd00573	idon_L
cpd00577	retn
cpd00578	stln
cpd00579	srtn
cpd00581	urcan
cpd00585	crtn
cpd00586	arg_D
cpd00587	cys_D
cpd00588	sbt_D
cpd00589	tagat_D
cpd00591	eamn
cpd00592	forcoa
cpd00594	guln
cpd00596	oxur
cpd00598	prpnt
cpd00599	salc
cpd00604	T4hcinnm
cpd00607	citmal
cpd00608	altrn
cpd00609	glcr
cpd00610	gln_D
cpd00616	Largn
cpd00620	ptth
cpd00622	spaptrn
cpd00623	sphgn
cpd00626	dtdpglu
cpd00627	pmth3one
cpd00630	3oxoadp
cpd00634	chlgnt
cpd00635	cbl1
cpd00636	chxnol
cpd00637	met_D
cpd00638	dnad
cpd00639	fmntn
cpd00640	gbrln1
cpd00641	histd
cpd00642	rml
cpd00643	mfur
cpd00644	pnto_R
cpd00646	4nph
cpd00649	coF240
cpd00650	b2coa
cpd00651	arabnont
cpd00652	galctr_D
cpd00653	galctn_D
cpd00654	dcyt
cpd00655	dpcoa
cpd00658	ichor
cpd00659	n2o
cpd00663	prpncoa
cpd00666	tartr_L
cpd00667	retinol_cis_11
cpd00668	alac_S
cpd00670	cinnmaldh
cpd00671	citmcoa_L
cpd00672	fruur
cpd00673	56dthm
cpd00679	cphlsprnc
cpd00680	chlphncl
cpd00681	chols
cpd00682	gthncoa
cpd00683	dhpt
cpd00684	23dmthmlet
cpd00687	isncrdna
cpd00689	ppbng
cpd00691	udparabns
cpd00693	lald_D
cpd00695	HC00591
cpd00696	35ccmp
cpd00697	35cgmp
cpd00699	3dhq
cpd00703	ind3ac
cpd00705	L2aadp
cpd00706	mercppyr
cpd00709	gal_bD
cpd00711	carveol
cpd00712	2dhp
cpd00714	3hppnl
cpd00715	4pyrdxlctn
cpd00717	armddrn
cpd00719	gdpmanur
cpd00722	acser
cpd00726	13dampp
cpd00727	2pglyc
cpd00728	4hdxbutn
cpd00729	5apentam
cpd00731	alaala
cpd00735	fmfur
cpd00738	pser_L
cpd00739	ribflvRD
cpd00742	allphn
cpd00743	citmcoa_L
cpd00745	3hpp
cpd00751	fuc_L
cpd00755	hmbil
cpd00756	dmgly
cpd00758	n8aspmd
cpd00759	Sfglutth
cpd00760	2mbcoa
cpd00761	3od5strd
cpd00762	4gubut
cpd00763	4mlacac
cpd00764	dann
cpd00765	gullac
cpd00767	Nacasp
cpd00768	ncbmlscn
cpd00769	nflasp
cpd00770	nforglu
cpd00773	uamr
cpd00774	uppg3
cpd00776	Ssq23epx
cpd00778	25dhpyr
cpd00781	5dglcn
cpd00782	pmcoa
cpd00786	rbt5p
cpd00788	naclbala
cpd00789	gams
cpd00790	achms
cpd00791	pppg9
cpd00792	coF240h
cpd00793	thmmp
cpd00794	tre
cpd00795	r2hglu
cpd00797	bhb
cpd00799	deacvind
cpd00800	8aonn
cpd00802	f1p
cpd00804	sbt6p
cpd00805	tag6p_D
cpd00806	fc1p
cpd00807	hisp
cpd00808	ru5p_L
cpd00809	phom
cpd00810	orot5p
cpd00811	tmao
cpd00812	5pmev
cpd00816	78dhkrnrt
cpd00817	ara5p
cpd00818	dgal6p
cpd00819	ab14lac_L
cpd00820	glctn14ltn
cpd00821	nsd5p
cpd00822	suchms
cpd00830	4h2oglt
cpd00831	rml1p
cpd00832	acgal
cpd00834	pan4p
cpd00836	adhlam
cpd00837	ametam
cpd00838	strptm6p
cpd00840	36dahx
cpd00841	5dpmev
cpd00842	3hbcoa
cpd00843	2h3oppan
cpd00847	r15bp
cpd00851	4hpro_LT
cpd00853	23dpg
cpd00854	34dhpha
cpd00855	bpyrzl1ylala
cpd00856	3cmuc
cpd00858	glu5sa
cpd00859	psd5p
cpd00860	HC00695
cpd00861	uacmam
cpd00862	ahex1p
cpd00863	g6p_B
cpd00864	thnpthn
cpd00866	17ahprgstrn
cpd00867	mi1p_D
cpd00868	34hpp
cpd00869	2kmb
cpd00870	gbbtn
cpd00871	rb15bp
cpd00872	nndmanlno
cpd00873	nicrnt
cpd00874	35dacap
cpd00875	kdo
cpd00876	3hmp
cpd00880	1padglcnt
cpd00882	melt
cpd00885	inoshp
cpd00888	HC00718
cpd00889	M02767
cpd00890	uama
cpd00891	mmcoa_R
cpd00893	2acamsucc
cpd00894	2dh3dgal
cpd00895	h4mpt
cpd00896	6p2dhglcn
cpd00897	cdpddg
cpd00900	gdpddman
cpd00903	M00026
cpd00904	dhea
cpd00905	ppgpp
cpd00906	hexdp
cpd00907	M01966
cpd00908	g3pe
cpd00910	glctnl
cpd00911	6pgl
cpd00914	mi134p
cpd00916	mi145p
cpd00917	78dh78dhkrnrt
cpd00918	acg5sa
cpd00919	hcit
cpd00921	6amh6ahnt
cpd00922	1pipdn2c
cpd00924	ap4a
cpd00925	gppppg
cpd00926	ansrn
cpd00930	imacp
cpd00931	5apru
cpd00932	3psme
cpd00933	3h2mp5c
cpd00934	mi1345p
cpd00935	26do6ph3e
cpd00936	5fth4mpt
cpd00938	2c25dho
cpd00939	4ahmmp
cpd00943	mi13456p
cpd00945	2dh3dgal6p
cpd00946	unaga
cpd00947	C01290
cpd00948	ihxnlgcoa
cpd00953	M00028
cpd00954	6hmhpt
cpd00956	2cpr5p
cpd00957	25dhpp
cpd00958	M00038
cpd00965	hg
cpd00971	na1
cpd00972	xdp
cpd00976	didp
cpd00977	ditp
cpd00978	dudp
cpd00982	fadh2
cpd00986	pqqh2
cpd00988	3amp
cpd00989	3ump
cpd00991	fustin
cpd00992	12ethd
cpd00993	hxs
cpd01011	btal
cpd01012	cd2
cpd01015	cynt
cpd01017	cgly
cpd01020	glt
cpd01024	ch4
cpd01027	oxam
cpd01030	salcn
cpd01033	tlt
cpd01034	tln
cpd01038	vitxn
cpd01043	acctn
cpd01047	apgn
cpd01048	aso4
cpd01055	all_D
cpd01059	frlt
cpd01061	tctrl
cpd01062	grnl
cpd01066	C01507
cpd01070	lupnt
cpd01071	tfltn
cpd01072	mrphn
cpd01078	seln
cpd01080	ocdca
cpd01085	vmcn
cpd01090	ethyne
cpd01092	alltn
cpd01097	bergptn
cpd01101	cbmt
cpd01102	ctxt
cpd01103	cyanam
cpd01107	dca
cpd01108	dglt
cpd01109	edrn
cpd01113	hxa
cpd01117	kvtn
cpd01119	lcdn
cpd01122	lnlc
cpd01123	mlemt
cpd01129	phtlt
cpd01133	stys
cpd01135	taxfol
cpd01140	udpas
cpd01141	vrmln
cpd01142	vcnse
cpd01150	aa
cpd01155	15dap
cpd01157	chtbs
cpd01160	cysam
cpd01161	dfucnt
cpd01169	L_dpchrm
cpd01170	erg
cpd01171	galt
cpd01180	ivitxn
cpd01186	fcl_L
cpd01187	sbt_L
cpd01188	lanost
cpd01191	78dmthaxzn
cpd01196	mrphnn
cpd01203	pnslvn
cpd01211	tcynt
cpd01213	tact
cpd01216	vmln
cpd01217	xtsn
cpd01220	crvn
cpd01221	actn_S
cpd01222	14lctn
cpd01223	2butnt
cpd01228	aldstrn
cpd01233	cdpabeq
cpd01237	cholcoa
cpd01238	cbmn
cpd01240	dglsd
cpd01242	drib
cpd01255	knmcn
cpd01257	lgal
cpd01260	ddcacoa
cpd01262	malttr
cpd01265	orslnt
cpd01269	2ppoh
cpd01270	fmnh2
cpd01287	rvcian
cpd01293	5oxpro
cpd01294	h6lactn
cpd01298	aact
cpd01300	aspgst
cpd01301	btnam
cpd01306	cartnl
cpd01307	abt_D
cpd01311	dtbt
cpd01313	ermcna
cpd01317	grnlcoa
cpd01318	gchola
cpd01324	histl_L
cpd01329	malthx
cpd01332	ncrdcna
cpd01334	obtsfl
cpd01335	occoa
cpd01339	2pntn
cpd01342	prgnlone
cpd01345	tcmn
cpd01357	rmndlt
cpd01360	2aphenl
cpd01362	3ethmal
cpd01363	3omal
cpd01368	vnlcnd
cpd01371	aspvne
cpd01373	aspvnh
cpd01375	blstcdns
cpd01376	ctet
cpd01381	cpntnl
cpd01390	gbrln20
cpd01391	glclgly
cpd01393	arachcoa
cpd01398	lnlccoa
cpd01399	maltttr
cpd01400	phe_L
cpd01401	phyQ
cpd01404	ptrpn
cpd01405	psdurdn
cpd01406	rcfcn
cpd01413	strno
cpd01414	tet
cpd01418	bisgsprmdn
cpd01419	urdgly
cpd01420	caro
cpd01437	pclphe
cpd01441	acmalt
cpd01447	bnzotlfmt
cpd01449	chlphyllide
cpd01450	crtstrn
cpd01451	ceclnl
cpd01454	C02147
cpd01463	dmxsprln
cpd01466	malpyr
cpd01468	HC00900
cpd01469	mntd
cpd01471	phesft
cpd01476	ppp9
cpd01482	ugam
cpd01489	balnpn
cpd01492	glutcnt
cpd01495	2amac
cpd01496	amuco
cpd01499	2mbald
cpd01500	2mchln
cpd01501	2mcit
cpd01504	bamppald
cpd01507	oxadpcoa
cpd01511	4sbnzt
cpd01512	5odpro
cpd01518	anthcoa
cpd01519	arachdcoa
cpd01526	phe_D
cpd01527	xyllac_D
cpd01530	dchlmthn
cpd01532	agalrnt
cpd01536	sdplgal
cpd01537	enoxoln
cpd01538	glycyrrzn
cpd01540	ipptn
cpd01545	mthtcnt
cpd01551	amdp
cpd01553	2hxmp
cpd01554	ainapoh
cpd01557	3btcoa
cpd01558	xnthptrnb2
cpd01560	balnlcoa
cpd01563	acon_T
cpd01564	nedrn
cpd01567	alltn_R
cpd01570	23camp
cpd01571	23ccmp
cpd01572	23cump
cpd01575	2fbnzt
cpd01577	2oscnmt
cpd01579	3fbnzt
cpd01583	4fbnzt
cpd01584	4aphe
cpd01586	4chlctchl
cpd01587	5mtc
cpd01588	6ahnt
cpd01595	cinnmoh
cpd01599	glutaccoa
cpd01610	C02442
cpd01612	n46dn
cpd01618	13ppd
cpd01620	dscl
cpd01622	tmphp
cpd01623	udpgalsmn
cpd01630	ccmuac
cpd01634	3rbleu
cpd01638	2hdzn
cpd01642	2hbiphe
cpd01644	2hmc
cpd01646	3c3hmp
cpd01647	pad
cpd01650	3adpg
cpd01651	HC00955
cpd01653	3fumrlpyr
cpd01661	bphe23diol
cpd01662	butpi
cpd01663	C02528
cpd01665	pser_D
cpd01669	estrones
cpd01673	kvtnh
cpd01679	methhydntn
cpd01683	oferlqnt
cpd01684	pvmcn
cpd01691	M02837
cpd01693	suc6p
cpd01695	tdcoa
cpd01701	citmal
cpd01705	23dmthmlt
cpd01706	24dchlphe
cpd01709	2hydog
cpd01710	2ippm
cpd01711	isobut
cpd01715	3dhcrntn
cpd01716	3dhsk
cpd01720	cala
cpd01722	4hcnmyloh
cpd01727	pime
cpd01732	bchlmthn
cpd01733	cfral
cpd01734	gallac
cpd01735	glac
cpd01736	dactxvndln
cpd01741	ddca
cpd01747	ind3acam
cpd01749	Lfmkynr
cpd01750	seros
cpd01759	acasp
cpd01762	frmdylgly
cpd01764	nmlala
cpd01765	hmma
cpd01766	nmptrc
cpd01769	n4pgmtn
cpd01770	n6alys
cpd01772	sucbz
cpd01773	phep
cpd01775	prbatp
cpd01777	prbamp
cpd01781	talctn
cpd01785	pedrn
cpd01790	25dpiprzn
cpd01793	25dkglcn
cpd01799	ibtlamn
cpd01801	34dchlanln
cpd01820	anhtcycln
cpd01824	hcsnact
cpd01831	im4ac
cpd01832	lyslctm
cpd01835	dmamnben
cpd01844	ppap
cpd01845	protochloroph
cpd01850	srbL1p
cpd01851	thpmtn
cpd01858	amplpsn
cpd01859	2hmnp
cpd01861	12ppd_R
cpd01864	sthppvln
cpd01871	3mcat
cpd01873	2amnb4old
cpd01877	34dhpyr
cpd01878	35dchlctcl
cpd01882	ivcoa
cpd01893	5hxthtxn
cpd01896	6apclnt
cpd01901	all6p
cpd01902	gdman
cpd01912	fuc1p_L
cpd01914	metsox_S_L
cpd01919	malt6p
cpd01921	naclhis
cpd01923	acmama
cpd01928	nmanth
cpd01932	12npthldl
cpd01933	ocblsrn
cpd01938	ura5c
cpd01942	lnlncgcoa
cpd01947	btd_RR
cpd01949	btd_SS
cpd01950	14dgndnbtn
cpd01954	23dhgosptn
cpd01955	26dhpy
cpd01956	ofbnzt
cpd01957	2hydogcoa
cpd01960	2ohed
cpd01963	3hlglu
cpd01964	3hbaldh
cpd01966	3mb2coa
cpd01972	4chpheac
cpd01973	4gudbd
cpd01974	e4hglu
cpd01976	hymcrmn
cpd01977	4pasp
cpd01981	5mtr
cpd01982	pram
cpd01983	cprst3one
cpd01995	dacphlsprnc
cpd01996	disop
cpd01997	dmbzid
cpd02000	gphpd
cpd02003	lasptlhmt
cpd02005	dmf
cpd02008	namdnasp
cpd02014	nmantnlt
cpd02016	rnam
cpd02021	sbzcoa
cpd02024	ppaca
cpd02026	tptnds
cpd02027	mmet
cpd02030	skm5p
cpd02033	tethptdn
cpd02039	appl
cpd02040	10hocdca
cpd02041	s2hglrt
cpd02042	3hbutnt
cpd02045	1h2npt
cpd02046	10fdhf
cpd02047	11docrtstrn
cpd02048	12dhtc
cpd02051	alnpn
cpd02056	2h3oapt
cpd02060	dd2coa
cpd02065	hLkynr
cpd02068	3mgcoa
cpd02069	3php
cpd02073	5achltn3one
cpd02074	6a2ohxnt
cpd02077	dlnlcg
cpd02079	adpr2p
cpd02080	actlndc
cpd02082	ctxtbester
cpd02083	cpppg3
cpd02084	d2hicprt
cpd02085	bdf2ph
cpd02087	galhexda
cpd02088	gbside
cpd02089	oxptn
cpd02090	g3pg
cpd02094	knmcn3p
cpd02095	ldambtnt
cpd02096	3aib_L
cpd02097	glu5p
cpd02098	xylhl_L
cpd02100	xu5p_L
cpd02102	nadlantnlt
cpd02103	sucarg
cpd02106	pbdxzntn
cpd02112	xan8cbxl
cpd02113	dtdprmn
cpd02117	thberbn
cpd02120	23dhdp
cpd02121	2a4opntn
cpd02124	2maacoa
cpd02125	2mb2coa
cpd02132	3pdent
cpd02135	HC01104
cpd02140	air
cpd02143	ggalctnlctn
cpd02145	dglc62lctn
cpd02147	4per
cpd02150	23damnppn
cpd02152	argsuc
cpd02154	nfmnlasp
cpd02160	sucorn
cpd02168	pphtd
cpd02172	atnodp
cpd02175	4hpro_D
cpd02182	lgt_S
cpd02183	oxalc
cpd02186	oxglyc
cpd02187	2mp2coa
cpd02195	4nqnln1o
cpd02197	5fthf
cpd02200	cdpmohamn
cpd02201	4ppan
cpd02203	ethrtl4p
cpd02204	do5mctdlt
cpd02210	3ig3p
cpd02211	2aobut
cpd02216	mppp9
cpd02218	naclphe
cpd02227	rhcys
cpd02229	udcpdp
cpd02230	mi4p_D
cpd02231	23esucc
cpd02233	2aeppn
cpd02234	3hbcoa_R
cpd02235	1p2cbxl
cpd02238	2hdhdzn
cpd02240	thxbiphe
cpd02243	2cmcnt
cpd02246	com
cpd02253	3u1ylala
cpd02254	3chmucnt
cpd02255	5odhf2a
cpd02257	45adhcrtsn
cpd02258	4h2opntn
cpd02259	2hbnzlfrmt
cpd02263	dlnlcgcoa
cpd02264	cdp36ddoglu
cpd02265	cdp36ddoman
cpd02267	chlphncl3a
cpd02274	mgal
cpd02275	acabiph
cpd02277	nmth2ogltmt
cpd02279	dmlarg
cpd02284	spc_hs
cpd02289	c34leucplargn
cpd02295	dhna
cpd02296	1ometmistl
cpd02298	1fbfrctsylsucr
cpd02300	24dhacphn
cpd02304	2p46dcxlt
cpd02305	34hpl
cpd02306	3adp2pg
cpd02309	4a3hbutnt
cpd02311	4izp
cpd02315	6pthp
cpd02326	nadlphe
cpd02333	quln
cpd02338	udpgalfur
cpd02340	adhex6p
cpd02342	axyl1p
cpd02345	glu1sa
cpd02350	26do6phexnt
cpd02353	2mproph
cpd02357	dopa
cpd02358	3hemthg
cpd02361	4hoxpacd
cpd02364	5gdn2opt
cpd02365	5batndn
cpd02371	tagdp_D
cpd02372	n6odsglsmn
cpd02375	dcamp
cpd02379	rnsdtp
cpd02380	m1tglycrt
cpd02386	2d3dxylt
cpd02392	3bhd5strd
cpd02393	4mbfrlact
cpd02394	gar
cpd02408	dahblstcdns
cpd02412	in3amino
cpd02414	l2a6o
cpd02415	serpethamn
cpd02419	nprnlhb
cpd02427	tmln3c
cpd02428	blarab1p
cpd02431	1pyr5c
cpd02438	mcom
cpd02439	2dh3dglc
cpd02441	3ddgc
cpd02446	d5kg
cpd02448	24dmpntn
cpd02450	f3oglsd
cpd02451	gcp
cpd02458	e3haspt
cpd02464	1fagalr
cpd02465	thdp
cpd02469	eoaa
cpd02471	3rlnl
cpd02472	hmanthnt
cpd02474	3fadgrfns
cpd02480	2do5hmc5p
cpd02483	hacon_C
cpd02484	mi3p_D
cpd02487	ac4oacnam
cpd02490	lypn
cpd02492	vitxn2oglc
cpd02494	23dhba
cpd02495	tthnpthn
cpd02497	dgalrnt1p
cpd02498	23dhmb
cpd02500	34dhpac
cpd02501	dhpppn
cpd02502	34hpp
cpd02505	4haqnlno
cpd02507	5c2o3ed
cpd02511	ap5a
cpd02513	mi34p
cpd02518	gbrln2bglsd
cpd02519	gnemp
cpd02522	L2aadp6sa
cpd02524	HC01231
cpd02525	h4acabiph
cpd02528	udp4dh6dodg
cpd02535	23dhmp
cpd02536	mucl
cpd02538	M00041
cpd02542	3mmucnt
cpd02544	2hobtc
cpd02545	icryplmn
cpd02546	ckdo
cpd02547	applp
cpd02552	acg5p
cpd02555	thglu
cpd02557	octdp
cpd02561	cnmlbdglu
cpd02566	23ddhb
cpd02569	33hmeoxobut
cpd02570	ppyr
cpd02571	56dihindlcrbxlt
cpd02572	5cm2hmu
cpd02573	5mdoctdndp
cpd02574	5mdr1p
cpd02579	ivitxn2oglc
cpd02583	34dchlphem
cpd02586	amboappn
cpd02587	n5l1celorn
cpd02589	35cntd
cpd02590	hepdp
cpd02591	pendp
cpd02594	t12dhb12d
cpd02597	2mcacn
cpd02599	hphethamn
cpd02601	lpchol_hs
cpd02603	M00535
cpd02605	3c4mop
cpd02607	5fdourimp
cpd02608	HC01254
cpd02611	acgam1p
