R00004	0.046
R00008	0.032
R00015	0.046
R00023	0.04
R00025	0.072
R00031	0.046
R00049	0.046
R00085	0.032
R00093	0.015
R00103	0.018
R00105	0.032
R00111	0.075
R00122	0.018
R00125	0.046
R00135	0.046
R00150	0.063
R00155	0.018
R00157	0.01
R00161	0.032
R00179	0.022
R00181	0.032
R00206	0.022
R00208	0.018
R00216	0.046
R00220	0.022
R00235	0.032
R00238	0.022
R00239	0.032
R00245	0.032
R00250	0.046
R00253	0.022
R00265	0.052
R00272	0.046
R00277	0.046
R00281	0.04
R00286	0.022
R00291	0.01
R00297	0.056
R00299	0.032
R00324	0.056
R00327	0.056
R00330	0.032
R00336	0.056
R00350	0.046
R00354	0.046
R00355	0.018
R00368	0.027
R00369	0.018
R00391	0.032
R00402	0.016
R00406	0.032
R00418	0.032
R00423	0.032
R00429	0.056
R00437	0.022
R00446	0.037
R00453	0.018
R00454	0.01
R00460	0.032
R00462	0.046
R00466	0.063
R00471	0.046
R00474	0.056
R00483	0.046
R00488	0.032
R00491	0.032
R00499	0.032
R00505	0.032
R00507	0.056
R00511	0.018
R00512	0.018
R00516	0.01
R00518	0.056
R00519	0.04
R00531	0.056
R00547	0.056
R00548	0.018
R00551	0.056
R00563	0.052
R00569	0.018
R00571	0.022
R00574	0.046
R00577	0.018
R00579	0.032
R00599	0.032
R00618	0.032
R00624	0.04
R00631	0.046
R00651	0.032
R00658	0.022
R00660	0.018
R00661	0.032
R00668	0.04
R00676	0.072
R00677	0.068
R00678	0.046
R00679	0.063
R00685	0.022
R00688	0.027
R00705	0.027
R00713	0.032
R00715	0.027
R00716	0.052
R00728	0.04
R00739	0.032
R00740	0.068
R00742	0.032
R00748	0.04
R00751	0.022
R00755	0.046
R00758	0.04
R00760	0.032
R00766	0.032
R00772	0.032
R00777	0.056
R00787	0.046
R00801	0.032
R00806	0.018
R00837	0.056
R00844	0.063
R00847	0.018
R00856	0.032
R00865	0.063
R00870	0.063
R00875	0.025
R00876	0.056
R00880	0.046
R00887	0.046
R00895	0.018
R00896	0.032
R00901	0.056
R00903	0.032
R00911	0.032
R00913	0.056
R00915	0.032
R00919	0.063
R00920	0.022
R00925	0.032
R00926	0.018
R00936	0.04
R00937	0.04
R00953	0.032
R00956	0.056
R00957	0.032
R00959	0.032
R00962	0.032
R00963	0.018
R00965	0.046
R00966	0.032
R00967	0.01
R00970	0.032
R00974	0.032
R00978	0.063
R00986	0.025
R01004	0.056
R01006	0.056
R01009	0.056
R01016	0.046
R01026	0.056
R01032	0.063
R01039	0.063
R01041	0.063
R01044	0.032
R01054	0.032
R01064	0.046
R01078	0.042
R01079	0.046
R01087	0.032
R01100	0.056
R01108	0.056
R01110	0.056
R01134	0.046
R01140	0.032
R01142	0.052
R01147	0.018
R01156	0.056
R01158	0.022
R01160	0.01
R01166	0.032
R01171	0.04
R01179	0.056
R01183	0.025
R01186	0.032
R01188	0.018
R01193	0.032
R01209	0.022
R01214	0.01
R01218	0.032
R01226	0.063
R01229	0.032
R01252	0.022
R01256	0.022
R01261	0.032
R01262	0.032
R01277	0.032
R01281	0.025
R01283	0.063
R01286	0.025
R01287	0.032
R01288	0.032
R01295	0.072
R01296	0.052
